fscore	hiddenLayerSizes	numHiddenLayers	precision	recall
0.837209302326	200	0	0.857142857143	0.818181818182
0.837209302326	150	0	0.857142857143	0.818181818182
0.837209302326	100	0	0.857142857143	0.818181818182
0.837209302326	40	0	0.857142857143	0.818181818182
0.837209302326	10	0	0.857142857143	0.818181818182
0.661654135338	200	1	0.494382022472	1.0
0.676923076923	150	1	0.511627906977	1.0
0.682170542636	100	1	0.517647058824	1.0
0.823529411765	40	1	0.853658536585	0.795454545455
0.709677419355	10	1	0.55	1.0
0.0	200	2	0.0	0.0
0.0	150	2	0.0	0.0
0.0	100	2	0.0	0.0
0.0	40	2	0.0	0.0
0.0	10	2	0.0	0.0
0.0	200	3	0.0	0.0
0.0	150	3	0.0	0.0
0.0	100	3	0.0	0.0
0.0	40	3	0.0	0.0
0.0	10	3	0.0	0.0
0.0	200	4	0.0	0.0
0.0	150	4	0.0	0.0
0.0	100	4	0.0	0.0
0.0	40	4	0.0	0.0
0.0	10	4	0.0	0.0
0.0	200	5	0.0	0.0
0.0	150	5	0.0	0.0
0.0	100	5	0.0	0.0
0.0	40	5	0.0	0.0
0.0	10	5	0.0	0.0
0.0	200	6	0.0	0.0
0.0	150	6	0.0	0.0
0.0	100	6	0.0	0.0
0.0	40	6	0.0	0.0
0.0	10	6	0.0	0.0
0.0	200	7	0.0	0.0
0.0	150	7	0.0	0.0
0.0	100	7	0.0	0.0
0.0	40	7	0.0	0.0
0.0	10	7	0.0	0.0
0.0	200	8	0.0	0.0
0.0	150	8	0.0	0.0
0.0	100	8	0.0	0.0
0.0	40	8	0.0	0.0
0.0	10	8	0.0	0.0
