fscore	learningRate	numEpochs	precision	recall
0.867469879518	0.5	1000	0.923076923077	0.818181818182
0.829268292683	0.5	3000	0.894736842105	0.772727272727
0.847826086957	0.5	6000	0.8125	0.886363636364
0.857142857143	0.5	10000	0.829787234043	0.886363636364
0.869565217391	0.5	15000	0.833333333333	0.909090909091
0.870588235294	0.3	1000	0.90243902439	0.840909090909
0.876404494382	0.3	3000	0.866666666667	0.886363636364
0.866666666667	0.3	6000	0.847826086957	0.886363636364
0.821052631579	0.3	10000	0.764705882353	0.886363636364
0.85393258427	0.3	15000	0.844444444444	0.863636363636
0.850574712644	0.1	1000	0.860465116279	0.840909090909
0.886363636364	0.1	3000	0.886363636364	0.886363636364
0.876404494382	0.1	6000	0.866666666667	0.886363636364
0.898876404494	0.1	10000	0.888888888889	0.909090909091
0.906976744186	0.1	15000	0.928571428571	0.886363636364
0.693333333333	0.01	1000	0.838709677419	0.590909090909
0.814814814815	0.01	3000	0.891891891892	0.75
0.833333333333	0.01	6000	0.875	0.795454545455
0.833333333333	0.01	10000	0.875	0.795454545455
0.857142857143	0.01	15000	0.9	0.818181818182
